20:46:25: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
20:46:25: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
20:46:26: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 8
20:46:26: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
20:46:26: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 9
20:46:26: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 10
20:46:26: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
20:46:27: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 11
20:46:27: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
20:46:27: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 12
20:46:27: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 13
20:46:27: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
20:46:28: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 14
20:46:28: [INFO] [C:\Users\Hasan\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\telemetry_drone.py | main | 134] Passed!
